dup1	dup2	Ka	Ks	Ka_Ks	type	peak	peak_name
Zm00001eb158050	Zm00001eb359440	0.116024	0.209252	0.554469	SD	1	ZEAM
Zm00001eb223160	Zm00001eb281600	0.648686	4.97732	0.130328	SD	1	ZEAM
Zm00001eb079970	Zm00001eb424700	0.0778178	0.152296	0.510965	SD	1	ZEAM
Zm00001eb115830	Zm00001eb165420	0.0802199	0.212929	0.376745	SD	1	ZEAM
Zm00001eb360580	Zm00001eb294920	0.209914	2.02319	0.103754	SD	1	ZEAM
Zm00001eb156300	Zm00001eb294920	0.214932	1.86529	0.115227	SD	1	ZEAM
Zm00001eb094340	Zm00001eb163140	0.0813398	0.0984366	0.826316	SD	1	ZEAM
Zm00001eb094340	Zm00001eb194940	0.316921	0.41273	0.767866	SD	1	ZEAM
Zm00001eb053110	Zm00001eb217290	0.973047	1.8129	0.536736	SD	1	ZEAM
Zm00001eb182010	Zm00001eb082280	0.368762	1.56927	0.234989	SD	1	ZEAM
Zm00001eb228660	Zm00001eb002430	0.948082	3.90134	0.243014	SD	1	ZEAM
Zm00001eb006560	Zm00001eb401540	0.0769	0.155475	0.494614	SD	1	ZEAM
Zm00001eb073760	Zm00001eb428880	0.444	0.637057	0.696955	SD	1	ZEAM
Zm00001eb102240	Zm00001eb174880	0.356471	0.887667	0.401581	SD	1	ZEAM
Zm00001eb144600	Zm00001eb365670	0.105876	0.188341	0.562149	SD	1	ZEAM
Zm00001eb252650	Zm00001eb188960	0.498779	0.56062	0.889691	SD	1	ZEAM
Zm00001eb078140	Zm00001eb426000	0.935025	2.22457	0.420317	SD	1	ZEAM
Zm00001eb101320	Zm00001eb033590	1.03135	1.58517	0.650623	SD	1	ZEAM
Zm00001eb040920	Zm00001eb177060	0.102057	0.189166	0.539514	SD	1	ZEAM
Zm00001eb099590	Zm00001eb312590	0.430199	0.701475	0.613277	SD	1	ZEAM
Zm00001eb033590	Zm00001eb199140	0.164406	0.296447	0.554587	SD	1	ZEAM
Zm00001eb188670	Zm00001eb252350	0.523102	1.29849	0.402854	SD	1	ZEAM
Zm00001eb063660	Zm00001eb211170	0.166495	0.200065	0.832204	SD	1	ZEAM
Zm00001eb107220	Zm00001eb324710	0.137468	0.189662	0.724803	SD	1	ZEAM
Zm00001eb227100	Zm00001eb232120	0.236604	1.86071	0.127158	SD	1	ZEAM
Zm00001eb140560	Zm00001eb362650	0.103422	0.59429	0.174026	SD	1	ZEAM
Zm00001eb361450	Zm00001eb155000	0.0582543	0.169746	0.343184	SD	1	ZEAM
Zm00001eb159160	Zm00001eb358910	0.0718102	0.133682	0.537172	SD	1	ZEAM
Zm00001eb316130	Zm00001eb199400	0.295742	4.59333	0.0643851	SD	1	ZEAM
Zm00001eb254410	Zm00001eb372210	0.555663	1.91304	0.290461	SD	1	ZEAM
Zm00001eb344140	Zm00001eb296410	0.0722722	0.142208	0.508215	SD	1	ZEAM
Zm00001eb313280	Zm00001eb099720	0.08009	0.42436	0.188731	SD	1	ZEAM
Zm00001eb313280	Zm00001eb374480	0.979997	4.55721	0.215043	SD	1	ZEAM
Zm00001eb280820	Zm00001eb380580	0.0642178	0.162701	0.394698	SD	1	ZEAM
Zm00001eb192780	Zm00001eb257270	0.057446	0.160694	0.357488	SD	1	ZEAM
Zm00001eb199970	Zm00001eb035370	0.068763	0.224166	0.306751	SD	1	ZEAM
Zm00001eb016560	Zm00001eb394870	0.0656343	0.152976	0.429049	SD	1	ZEAM
Zm00001eb016560	Zm00001eb111230	0.399452	1.43569	0.278231	SD	1	ZEAM
Zm00001eb356140	Zm00001eb267430	0.064499	0.181568	0.355233	SD	1	ZEAM
Zm00001eb394870	Zm00001eb111230	0.482372	1.49437	0.322793	SD	1	ZEAM
Zm00001eb199400	Zm00001eb101560	0.170281	2.06637	0.0824058	SD	1	ZEAM
Zm00001eb135380	Zm00001eb030930	0.11752	0.236369	0.497188	SD	1	ZEAM
Zm00001eb334990	Zm00001eb125670	0.0718338	0.172642	0.416085	SD	1	ZEAM
Zm00001eb304560	Zm00001eb063800	0.072096	1.834	0.0393107	SD	1	ZEAM
Zm00001eb087920	Zm00001eb419670	0.0732369	1.1199	0.065396	SD	1	ZEAM
Zm00001eb097100	Zm00001eb063800	0.0749551	1.2637100000000001	0.0593136	SD	1	ZEAM
Zm00001eb225970	Zm00001eb207890	0.628797	4.86659	0.129207	SD	1	ZEAM
Zm00001eb207890	Zm00001eb273370	0.381702	3.27594	0.116517	SD	1	ZEAM
Zm00001eb095640	Zm00001eb307290	0.135815	0.229747	0.591151	SD	1	ZEAM
Zm00001eb035840	Zm00001eb317200	0.123687	1.08774	0.11371	SD	1	ZEAM
Zm00001eb293660	Zm00001eb153630	0.49405	4.6933	0.105267	SD	1	ZEAM
Zm00001eb205470	Zm00001eb240410	0.184633	0.305548	0.604268	SD	1	ZEAM
Zm00001eb212800	Zm00001eb116620	0.946239	2.46411	0.384008	SD	1	ZEAM
Zm00001eb072860	Zm00001eb187440	0.417431	1.40665	0.296755	SD	1	ZEAM
Zm00001eb072860	Zm00001eb250930	0.921517	1.86728	0.493508	SD	1	ZEAM
Zm00001eb293320	Zm00001eb361980	0.455921	1.33717	0.340959	SD	1	ZEAM
Zm00001eb293320	Zm00001eb154140	0.42269	1.60613	0.263173	SD	1	ZEAM
Zm00001eb336020	Zm00001eb124060	0.469722	1.5281	0.307389	SD	1	ZEAM
Zm00001eb273370	Zm00001eb232500	0.284988	1.57566	0.18087	SD	1	ZEAM
Zm00001eb187440	Zm00001eb250930	0.786013	0.945112	0.831662	SD	1	ZEAM
Zm00001eb361980	Zm00001eb154140	0.10326	0.203757	0.506779	SD	1	ZEAM
Zm00001eb360990	Zm00001eb294600	0.260374	1.5618	0.166714	SD	1	ZEAM
Zm00001eb192910	Zm00001eb257190	1.00461	1.095	0.91746	SD	1	ZEAM
Zm00001eb349780	Zm00001eb287690	0.205838	0.355389	0.579191	SD	1	ZEAM
Zm00001eb016120	Zm00001eb111550	0.716288	3.19755	0.224011	SD	1	ZEAM
Zm00001eb016120	Zm00001eb330660	0.735265	1.73627	0.423474	SD	1	ZEAM
Zm00001eb016120	Zm00001eb195280	0.872002	4.70434	0.185361	SD	1	ZEAM
Zm00001eb053540	Zm00001eb217110	0.101322	0.156953	0.645558	SD	1	ZEAM
Zm00001eb402480	Zm00001eb002430	0.0619735	0.155503	0.398536	SD	1	ZEAM
Zm00001eb153630	Zm00001eb371190	0.220471	1.24048	0.17773	SD	1	ZEAM
Zm00001eb104820	Zm00001eb320080	0.658546	0.627993	1.04865	SD	1	ZEAM
Zm00001eb331520	Zm00001eb013620	0.15009	1.28957	0.116387	SD	1	ZEAM
Zm00001eb096920	Zm00001eb305980	0.0697046	0.203572	0.342407	SD	1	ZEAM
Zm00001eb021510	Zm00001eb001370	0.376279	1.79288	0.209874	SD	1	ZEAM
Zm00001eb272820	Zm00001eb232150	0.367192	1.57266	0.233485	SD	1	ZEAM
Zm00001eb384580	Zm00001eb239600	0.355476	4.59087	0.077431	SD	1	ZEAM
Zm00001eb405190	Zm00001eb196380	0.089102	1.18604	0.0751259	SD	1	ZEAM
Zm00001eb227030	Zm00001eb232150	0.392912	1.28367	0.306086	SD	1	ZEAM
Zm00001eb139110	Zm00001eb407890	0.0719155	0.154982	0.464025	SD	1	ZEAM
Zm00001eb167830	Zm00001eb112170	0.0883796	0.644037	0.137228	SD	1	ZEAM
Zm00001eb086360	Zm00001eb420410	0.136568	0.388	0.351978	SD	1	ZEAM
Zm00001eb138830	Zm00001eb091090	0.506916	4.38737	0.11554	SD	1	ZEAM
Zm00001eb407890	Zm00001eb200890	0.41605	1.56608	0.265664	SD	1	ZEAM
Zm00001eb247150	Zm00001eb184650	0.710252	2.04419	0.34745	SD	1	ZEAM
Zm00001eb204940	Zm00001eb238760	0.454873	0.523871	0.868292	SD	1	ZEAM
Zm00001eb299510	Zm00001eb213770	0.141712	4.8307	0.0293358	SD	1	ZEAM
Zm00001eb299510	Zm00001eb059050	0.132869	4.80399	0.0276581	SD	1	ZEAM
Zm00001eb054660	Zm00001eb216510	0.176148	0.315499	0.558315	SD	1	ZEAM
Zm00001eb392440	Zm00001eb327840	0.255284	1.17204	0.217811	SD	1	ZEAM
Zm00001eb051470	Zm00001eb030420	0.17757	0.990032	0.179358	SD	1	ZEAM
Zm00001eb070760	Zm00001eb430920	0.165523	0.375979	0.440247	SD	1	ZEAM
Zm00001eb171780	Zm00001eb431470	0.74855	2.34273	0.31952	SD	1	ZEAM
Zm00001eb199600	Zm00001eb034200	0.134975	0.827955	0.163023	SD	1	ZEAM
Zm00001eb154260	Zm00001eb361850	0.24007	0.318189	0.754489	SD	1	ZEAM
Zm00001eb022080	Zm00001eb393710	0.320696	0.461329	0.695156	SD	1	ZEAM
Zm00001eb242050	Zm00001eb421400	0.503886	1.56377	0.322225	SD	1	ZEAM
Zm00001eb033230	Zm00001eb133880	0.104362	0.148042	0.704946	SD	1	ZEAM
Zm00001eb321450	Zm00001eb105000	0.0795092	0.568147	0.13994500000000001	SD	1	ZEAM
Zm00001eb391770	Zm00001eb022910	0.0762369	0.186404	0.408987	SD	1	ZEAM
Zm00001eb134240	Zm00001eb032940	0.0562929	0.429824	0.130967	SD	1	ZEAM
Zm00001eb291070	Zm00001eb149780	0.401627	4.62916	0.0867602	SD	1	ZEAM
Zm00001eb291070	Zm00001eb015720	0.867823	4.78319	0.181432	SD	1	ZEAM
Zm00001eb150100	Zm00001eb291270	0.925098	2.56138	0.361172	SD	1	ZEAM
Zm00001eb115900	Zm00001eb165360	0.377533	1.98453	0.190238	SD	1	ZEAM
Zm00001eb048660	Zm00001eb223490	0.0711588	0.172742	0.411937	SD	1	ZEAM
Zm00001eb037120	Zm00001eb198220	0.0569347	0.233855	0.243462	SD	1	ZEAM
Zm00001eb430580	Zm00001eb170990	0.11366	1.59386	0.0713107	SD	1	ZEAM
Zm00001eb430580	Zm00001eb414040	0.114962	1.24785	0.0921284	SD	1	ZEAM
Zm00001eb071300	Zm00001eb414040	0.112568	1.75709	0.0640649	SD	1	ZEAM
Zm00001eb353510	Zm00001eb153560	0.219126	2.17581	0.10071	SD	1	ZEAM
Zm00001eb353510	Zm00001eb371130	0.408979	4.46415	0.0916142	SD	1	ZEAM
Zm00001eb293720	Zm00001eb153560	0.230972	1.29693	0.178091	SD	1	ZEAM
Zm00001eb293720	Zm00001eb371130	0.400776	4.46899	0.0896793	SD	1	ZEAM
Zm00001eb256740	Zm00001eb278640	0.131799	1.30502	0.100994	SD	1	ZEAM
Zm00001eb389830	Zm00001eb207090	0.0937867	0.847573	0.110653	SD	1	ZEAM
Zm00001eb191290	Zm00001eb259050	0.0658282	0.197592	0.333152	SD	1	ZEAM
Zm00001eb220750	Zm00001eb044090	0.103712	0.210591	0.492482	SD	1	ZEAM
Zm00001eb050340	Zm00001eb031970	0.0780715	0.883649	0.0883512	SD	1	ZEAM
Zm00001eb313960	Zm00001eb040550	0.192958	4.59055	0.0420337	SD	1	ZEAM
Zm00001eb286080	Zm00001eb130190	0.266023	3.30574	0.0804731	SD	1	ZEAM
Zm00001eb280130	Zm00001eb253990	0.191863	1.96815	0.0974841	SD	1	ZEAM
Zm00001eb031970	Zm00001eb218630	0.0742064	0.87134	0.0851635	SD	1	ZEAM
Zm00001eb180790	Zm00001eb421400	0.474317	2.23788	0.211949	SD	1	ZEAM
Zm00001eb208110	Zm00001eb227090	0.134295	0.914762	0.146808	SD	1	ZEAM
Zm00001eb121480	Zm00001eb337210	0.064813	0.280667	0.230925	SD	1	ZEAM
Zm00001eb214520	Zm00001eb057910	0.0612709	0.137287	0.446298	SD	1	ZEAM
Zm00001eb035700	Zm00001eb174630	0.0698854	0.204607	0.34156	SD	1	ZEAM
Zm00001eb256570	Zm00001eb373600	0.29749	1.71783	0.173178	SD	1	ZEAM
Zm00001eb089490	Zm00001eb418840	0.275269	0.368639	0.746719	SD	1	ZEAM
Zm00001eb361260	Zm00001eb155160	0.204956	0.349133	0.587042	SD	1	ZEAM
Zm00001eb201810	Zm00001eb113970	0.292676	0.34078	0.858841	SD	1	ZEAM
Zm00001eb333690	Zm00001eb127570	0.134848	0.832734	0.161935	SD	1	ZEAM
Zm00001eb354250	Zm00001eb418070	0.285011	0.884201	0.322337	SD	1	ZEAM
Zm00001eb374480	Zm00001eb278310	0.6096	4.58898	0.13284	SD	1	ZEAM
Zm00001eb391030	Zm00001eb023800	0.845016	2.0676	0.408694	SD	1	ZEAM
Zm00001eb098460	Zm00001eb042090	0.309983	1.08724	0.28511	SD	1	ZEAM
Zm00001eb310520	Zm00001eb042090	0.303945	1.19895	0.25351	SD	1	ZEAM
Zm00001eb079340	Zm00001eb425120	0.0906103	0.340992	0.265726	SD	1	ZEAM
Zm00001eb387040	Zm00001eb234400	0.0973628	0.918575	0.105993	SD	1	ZEAM
Zm00001eb260480	Zm00001eb174090	0.0565773	0.143169	0.39518	SD	1	ZEAM
Zm00001eb275240	Zm00001eb234400	0.0970602	0.930166	0.104347	SD	1	ZEAM
Zm00001eb403310	Zm00001eb004540	0.0847178	0.299175	0.283171	SD	1	ZEAM
Zm00001eb016040	Zm00001eb290670	0.386007	4.89019	0.0789349	SD	1	ZEAM
Zm00001eb063390	Zm00001eb211350	0.055946	0.194052	0.288305	SD	1	ZEAM
Zm00001eb383680	Zm00001eb204600	0.105523	4.79812	0.0219926	SD	1	ZEAM
Zm00001eb383680	Zm00001eb238670	0.104319	4.79503	0.0217557	SD	1	ZEAM
Zm00001eb144810	Zm00001eb365740	0.073201	0.185275	0.395093	SD	1	ZEAM
Zm00001eb250070	Zm00001eb186970	0.0760775	0.308515	0.246593	SD	1	ZEAM
Zm00001eb250070	Zm00001eb074090	0.4653	4.67904	0.0994435	SD	1	ZEAM
Zm00001eb250070	Zm00001eb429250	0.469142	4.68186	0.100204	SD	1	ZEAM
Zm00001eb153560	Zm00001eb371130	0.316508	0.61144	0.517644	SD	1	ZEAM
Zm00001eb413150	Zm00001eb171710	0.0609599	0.125619	0.485275	SD	1	ZEAM
Zm00001eb330690	Zm00001eb111570	0.0585563	0.199454	0.293583	SD	1	ZEAM
Zm00001eb106360	Zm00001eb323250	0.1095	0.161805	0.676738	SD	1	ZEAM
Zm00001eb186970	Zm00001eb074090	0.507851	4.69422	0.108187	SD	1	ZEAM
Zm00001eb186970	Zm00001eb429250	0.390698	4.69482	0.083219	SD	1	ZEAM
Zm00001eb059900	Zm00001eb300000	0.229951	1.80217	0.127597	SD	1	ZEAM
Zm00001eb178670	Zm00001eb310770	0.183425	1.12242	0.16342	SD	1	ZEAM
Zm00001eb207950	Zm00001eb232450	0.463066	0.718454	0.644532	SD	1	ZEAM
Zm00001eb173050	Zm00001eb416780	0.0876572	0.258976	0.338476	SD	1	ZEAM
Zm00001eb365680	Zm00001eb144610	0.10022	0.389689	0.25718	SD	1	ZEAM
Zm00001eb000690	Zm00001eb404260	0.0968693	0.268152	0.361247	SD	1	ZEAM
Zm00001eb224910	Zm00001eb024900	0.124846	0.184037	0.678377	SD	1	ZEAM
Zm00001eb160480	Zm00001eb357020	0.839934	1.60343	0.523836	SD	1	ZEAM
Zm00001eb149530	Zm00001eb290670	0.216287	2.61201	0.0828051	SD	1	ZEAM
Zm00001eb242420	Zm00001eb084420	0.175856	0.79722	0.220587	SD	1	ZEAM
Zm00001eb149670	Zm00001eb290880	0.188071	1.27029	0.148054	SD	1	ZEAM
Zm00001eb430400	Zm00001eb071670	0.0575808	0.164272	0.35052	SD	1	ZEAM
Zm00001eb310870	Zm00001eb042130	0.191354	1.65343	0.115732	SD	1	ZEAM
Zm00001eb433020	Zm00001eb067270	0.0746406	0.334199	0.223342	SD	1	ZEAM
Zm00001eb425660	Zm00001eb078590	0.0947802	0.191046	0.496112	SD	1	ZEAM
Zm00001eb077920	Zm00001eb426200	0.0576537	0.120576	0.478152	SD	1	ZEAM
Zm00001eb319410	Zm00001eb103350	0.104744	0.293301	0.357122	SD	1	ZEAM
Zm00001eb154010	Zm00001eb293430	0.0808226	1.42923	0.0565497	SD	1	ZEAM
Zm00001eb413780	Zm00001eb171140	0.19747	0.294999	0.669394	SD	1	ZEAM
Zm00001eb251910	Zm00001eb071720	0.294528	1.63989	0.179602	SD	1	ZEAM
Zm00001eb251910	Zm00001eb430360	0.30505	1.77274	0.172078	SD	1	ZEAM
Zm00001eb317490	Zm00001eb102280	0.788958	1.48924	0.529774	SD	1	ZEAM
Zm00001eb288850	Zm00001eb146890	0.468304	1.77397	0.263986	SD	1	ZEAM
Zm00001eb427560	Zm00001eb075380	0.190382	0.222338	0.856272	SD	1	ZEAM
Zm00001eb427560	Zm00001eb186130	0.36018	1.51219	0.238184	SD	1	ZEAM
Zm00001eb058570	Zm00001eb214090	0.580624	1.0979	0.528851	SD	1	ZEAM
Zm00001eb258860	Zm00001eb191440	0.186928	0.38578	0.484545	SD	1	ZEAM
Zm00001eb296680	Zm00001eb344430	0.0583793	0.106182	0.549806	SD	1	ZEAM
Zm00001eb127130	Zm00001eb334080	0.0787896	0.162352	0.485302	SD	1	ZEAM
Zm00001eb169050	Zm00001eb112550	0.0997116	0.47025	0.21204	SD	1	ZEAM
Zm00001eb056470	Zm00001eb215300	0.192765	0.256431	0.751723	SD	1	ZEAM
Zm00001eb339390	Zm00001eb118950	0.0566714	0.217689	0.260332	SD	1	ZEAM
Zm00001eb303780	Zm00001eb095010	0.892874	2.34983	0.379975	SD	1	ZEAM
Zm00001eb252410	Zm00001eb188700	0.102039	0.207906	0.490795	SD	1	ZEAM
Zm00001eb396410	Zm00001eb014240	0.108395	0.266324	0.407006	SD	1	ZEAM
Zm00001eb320100	Zm00001eb104810	0.068409	0.134513	0.508567	SD	1	ZEAM
Zm00001eb066150	Zm00001eb433770	0.0575958	0.18675	0.308411	SD	1	ZEAM
Zm00001eb066150	Zm00001eb044790	0.696143	3.83856	0.181355	SD	1	ZEAM
Zm00001eb007610	Zm00001eb400670	0.195557	0.357068	0.547675	SD	1	ZEAM
Zm00001eb063970	Zm00001eb211040	0.34314	0.718687	0.477454	SD	1	ZEAM
Zm00001eb273840	Zm00001eb207450	0.15703	1.04053	0.150914	SD	1	ZEAM
Zm00001eb010990	Zm00001eb398450	0.447774	2.13934	0.209304	SD	1	ZEAM
Zm00001eb126740	Zm00001eb334240	0.139666	0.188766	0.739891	SD	1	ZEAM
Zm00001eb014730	Zm00001eb396070	0.082179	0.134797	0.609651	SD	1	ZEAM
Zm00001eb125230	Zm00001eb335340	0.123514	0.246781	0.500503	SD	1	ZEAM
Zm00001eb176470	Zm00001eb037860	0.0631393	0.69394	0.0909867	SD	1	ZEAM
Zm00001eb201360	Zm00001eb408270	0.874694	4.49266	0.194694	SD	1	ZEAM
Zm00001eb163930	Zm00001eb195280	0.328054	0.852845	0.384658	SD	1	ZEAM
Zm00001eb095370	Zm00001eb303060	0.0589336	1.12777	0.0522569	SD	1	ZEAM
Zm00001eb040050	Zm00001eb202800	0.176656	0.694903	0.254217	SD	1	ZEAM
Zm00001eb040050	Zm00001eb103810	0.425092	4.66952	0.0910355	SD	1	ZEAM
Zm00001eb040050	Zm00001eb331960	0.44076	4.69217	0.0939353	SD	1	ZEAM
Zm00001eb314780	Zm00001eb256010	0.478532	4.13881	0.115621	SD	1	ZEAM
Zm00001eb149830	Zm00001eb369080	0.105995	0.177683	0.596537	SD	1	ZEAM
Zm00001eb177300	Zm00001eb040360	0.176557	0.234795	0.751959	SD	1	ZEAM
Zm00001eb055620	Zm00001eb215910	0.0596863	0.135402	0.440807	SD	1	ZEAM
Zm00001eb104480	Zm00001eb320610	0.058132	0.14708	0.39524	SD	1	ZEAM
Zm00001eb047500	Zm00001eb004370	0.724502	1.62113	0.446913	SD	1	ZEAM
Zm00001eb323710	Zm00001eb106670	0.52498	3.26969	0.16056	SD	1	ZEAM
Zm00001eb432990	Zm00001eb067350	0.118042	0.194445	0.607071	SD	1	ZEAM
Zm00001eb193330	Zm00001eb256420	0.125748	0.583068	0.215666	SD	1	ZEAM
Zm00001eb193330	Zm00001eb278870	0.234879	4.21143	0.0557718	SD	1	ZEAM
