gene	type
Zm00001eb332530	SD
Zm00001eb391030	SD
Zm00001eb098460	SD
Zm00001eb310520	SD
Zm00001eb216140	SD
Zm00001eb079340	SD
Zm00001eb099810	SD
Zm00001eb020330	SD
Zm00001eb327340	SD
Zm00001eb387040	SD
Zm00001eb260480	SD
Zm00001eb089800	SD
Zm00001eb190410	SD
Zm00001eb091060	SD
Zm00001eb275240	SD
Zm00001eb364820	SD
Zm00001eb403310	SD
Zm00001eb238660	SD
Zm00001eb016040	SD
Zm00001eb063390	SD
Zm00001eb396900	SD
Zm00001eb383680	SD
Zm00001eb144810	SD
Zm00001eb045810	SD
Zm00001eb324300	SD
Zm00001eb276980	SD
Zm00001eb250070	SD
Zm00001eb274910	SD
Zm00001eb153560	SD
Zm00001eb413150	SD
Zm00001eb330690	SD
Zm00001eb055210	SD
Zm00001eb042110	SD
Zm00001eb106360	SD
Zm00001eb358200	SD
Zm00001eb238670	SD
Zm00001eb353280	SD
Zm00001eb186970	SD
Zm00001eb017330	SD
Zm00001eb059900	SD
Zm00001eb178670	SD
Zm00001eb302400	SD
Zm00001eb207950	SD
Zm00001eb275100	SD
Zm00001eb281010	SD
Zm00001eb006320	SD
Zm00001eb173050	SD
Zm00001eb067750	SD
Zm00001eb365680	SD
Zm00001eb000690	SD
Zm00001eb224910	SD
Zm00001eb293110	SD
Zm00001eb419050	SD
Zm00001eb160480	SD
Zm00001eb172230	SD
Zm00001eb149530	SD
Zm00001eb242420	SD
Zm00001eb149670	SD
Zm00001eb430400	SD
Zm00001eb310870	SD
Zm00001eb433020	SD
Zm00001eb425660	SD
Zm00001eb077920	SD
Zm00001eb319410	SD
Zm00001eb154010	SD
Zm00001eb413780	SD
Zm00001eb429250	SD
Zm00001eb137140	SD
Zm00001eb251910	SD
Zm00001eb317490	SD
Zm00001eb248450	SD
Zm00001eb288850	SD
Zm00001eb427560	SD
Zm00001eb058570	SD
Zm00001eb258860	SD
Zm00001eb296680	SD
Zm00001eb127130	SD
Zm00001eb169050	SD
Zm00001eb329230	SD
Zm00001eb056470	SD
Zm00001eb339390	SD
Zm00001eb303780	SD
Zm00001eb252410	SD
Zm00001eb343270	SD
Zm00001eb209370	SD
Zm00001eb396410	SD
Zm00001eb320100	SD
Zm00001eb240380	SD
Zm00001eb023660	SD
Zm00001eb421360	SD
Zm00001eb106100	SD
Zm00001eb066150	SD
Zm00001eb081610	SD
Zm00001eb007610	SD
Zm00001eb097580	SD
Zm00001eb063970	SD
Zm00001eb008780	SD
Zm00001eb071720	SD
Zm00001eb273840	SD
Zm00001eb104210	SD
Zm00001eb010990	SD
Zm00001eb370990	SD
Zm00001eb126740	SD
Zm00001eb014730	SD
Zm00001eb171140	SD
Zm00001eb270080	SD
Zm00001eb125230	SD
Zm00001eb176470	SD
Zm00001eb201360	SD
Zm00001eb163930	SD
Zm00001eb095370	SD
Zm00001eb131230	SD
Zm00001eb403550	SD
Zm00001eb040050	SD
Zm00001eb314780	SD
Zm00001eb149830	SD
Zm00001eb177300	SD
Zm00001eb055620	SD
Zm00001eb104480	SD
Zm00001eb388330	SD
Zm00001eb128780	SD
Zm00001eb012100	SD
Zm00001eb047500	SD
Zm00001eb323710	SD
Zm00001eb432990	SD
Zm00001eb193330	SD
Zm00001eb022940	SD
Zm00001eb352150	SD
Zm00001eb191700	SD
Zm00001eb211190	SD
Zm00001eb394540	SD
Zm00001eb330660	SD
Zm00001eb357900	SD
Zm00001eb341260	SD
Zm00001eb031700	SD
Zm00001eb391740	SD
Zm00001eb186910	SD
Zm00001eb092180	SD
Zm00001eb397920	SD
Zm00001eb131620	SD
Zm00001eb211870	SD
Zm00001eb208050	SD
Zm00001eb103510	SD
Zm00001eb076490	SD
Zm00001eb042420	SD
Zm00001eb265410	SD
Zm00001eb200590	SD
Zm00001eb256260	SD
Zm00001eb044640	SD
Zm00001eb362080	SD
Zm00001eb139520	SD
Zm00001eb116280	SD
Zm00001eb395240	SD
Zm00001eb216870	SD
Zm00001eb072270	SD
Zm00001eb359320	SD
Zm00001eb403560	SD
Zm00001eb137290	SD
Zm00001eb351580	SD
Zm00001eb306260	SD
Zm00001eb337350	SD
Zm00001eb349090	SD
Zm00001eb129860	SD
Zm00001eb101780	SD
Zm00001eb186130	SD
Zm00001eb243020	SD
Zm00001eb243360	SD
Zm00001eb151300	SD
Zm00001eb373110	SD
Zm00001eb369010	SD
Zm00001eb315780	SD
Zm00001eb234620	SD
Zm00001eb378670	SD
Zm00001eb197990	SD
Zm00001eb379420	SD
Zm00001eb355970	SD
Zm00001eb136540	SD
Zm00001eb425310	SD
Zm00001eb260470	SD
Zm00001eb030390	SD
Zm00001eb040860	SD
Zm00001eb017310	SD
Zm00001eb013000	SD
Zm00001eb069410	SD
Zm00001eb398340	SD
Zm00001eb370130	SD
Zm00001eb044760	SD
Zm00001eb387310	SD
Zm00001eb271590	SD
Zm00001eb333220	SD
Zm00001eb092100	SD
Zm00001eb373560	SD
Zm00001eb397250	SD
Zm00001eb042370	SD
Zm00001eb227820	SD
Zm00001eb016330	SD
Zm00001eb016660	SD
Zm00001eb031250	SD
Zm00001eb422090	SD
Zm00001eb260420	SD
Zm00001eb280380	SD
Zm00001eb111550	SD
Zm00001eb078170	SD
Zm00001eb425970	SD
Zm00001eb273100	SD
Zm00001eb268840	SD
Zm00001eb044360	SD
Zm00001eb368190	SD
Zm00001eb278740	SD
Zm00001eb019050	SD
Zm00001eb374840	SD
Zm00001eb218730	SD
Zm00001eb050660	SD
Zm00001eb103990	SD
Zm00001eb343930	SD
Zm00001eb281160	SD
Zm00001eb122860	SD
Zm00001eb192680	SD
Zm00001eb136060	SD
Zm00001eb224940	SD
Zm00001eb240330	SD
Zm00001eb033110	SD
Zm00001eb089580	SD
Zm00001eb397790	SD
Zm00001eb385250	SD
Zm00001eb238050	SD
Zm00001eb104260	SD
Zm00001eb342080	SD
Zm00001eb296100	SD
Zm00001eb378680	SD
Zm00001eb000880	SD
Zm00001eb327420	SD
Zm00001eb379530	SD
Zm00001eb021170	SD
Zm00001eb339080	SD
Zm00001eb329690	SD
Zm00001eb202800	SD
Zm00001eb159350	SD
Zm00001eb431350	SD
Zm00001eb428840	SD
Zm00001eb084160	SD
Zm00001eb219420	SD
Zm00001eb007030	SD
Zm00001eb398060	SD
Zm00001eb337940	SD
Zm00001eb157580	SD
Zm00001eb102840	SD
Zm00001eb245950	SD
Zm00001eb012880	SD
Zm00001eb369770	SD
Zm00001eb265200	SD
Zm00001eb197530	SD
Zm00001eb331960	SD
Zm00001eb318030	SD
Zm00001eb014970	SD
Zm00001eb284360	SD
Zm00001eb148790	SD
Zm00001eb315400	SD
Zm00001eb235400	SD
Zm00001eb059990	SD
Zm00001eb218410	SD
Zm00001eb070050	SD
Zm00001eb226820	SD
Zm00001eb095660	SD
Zm00001eb188050	SD
Zm00001eb297070	SD
Zm00001eb112080	SD
Zm00001eb048000	SD
Zm00001eb343980	SD
Zm00001eb360910	SD
Zm00001eb382900	SD
Zm00001eb257160	SD
Zm00001eb430810	SD
Zm00001eb040940	SD
Zm00001eb069460	SD
Zm00001eb410840	SD
Zm00001eb392710	SD
Zm00001eb044280	SD
Zm00001eb037010	SD
Zm00001eb153090	SD
Zm00001eb368920	SD
Zm00001eb251630	SD
Zm00001eb010790	SD
Zm00001eb364230	SD
Zm00001eb364470	SD
Zm00001eb227150	SD
Zm00001eb368270	SD
Zm00001eb355080	SD
Zm00001eb066640	SD
Zm00001eb143240	SD
Zm00001eb056350	SD
Zm00001eb300880	SD
Zm00001eb406310	SD
Zm00001eb325590	SD
Zm00001eb375490	SD
Zm00001eb186240	SD
Zm00001eb275630	SD
Zm00001eb037420	SD
Zm00001eb137900	SD
Zm00001eb363810	SD
Zm00001eb222570	SD
Zm00001eb047170	SD
Zm00001eb131510	SD
Zm00001eb374440	SD
Zm00001eb289360	SD
Zm00001eb357140	SD
Zm00001eb051370	SD
Zm00001eb148290	SD
Zm00001eb181960	SD
Zm00001eb322310	SD
Zm00001eb035390	SD
Zm00001eb139410	SD
Zm00001eb228120	SD
Zm00001eb212750	SD
Zm00001eb163960	SD
Zm00001eb152050	SD
Zm00001eb004170	SD
Zm00001eb082760	SD
Zm00001eb070910	SD
Zm00001eb258520	SD
Zm00001eb365610	SD
Zm00001eb421870	SD
Zm00001eb212740	SD
Zm00001eb413140	SD
Zm00001eb400100	SD
Zm00001eb162370	SD
Zm00001eb061990	SD
Zm00001eb327640	SD
Zm00001eb142310	SD
Zm00001eb216680	SD
Zm00001eb031220	SD
Zm00001eb185690	SD
Zm00001eb358420	SD
Zm00001eb174640	SD
Zm00001eb315880	SD
Zm00001eb055750	SD
Zm00001eb321710	SD
Zm00001eb159570	SD
Zm00001eb016160	SD
Zm00001eb208140	SD
Zm00001eb184560	SD
Zm00001eb064410	SD
Zm00001eb329740	SD
Zm00001eb316620	SD
Zm00001eb157070	SD
Zm00001eb243060	SD
Zm00001eb429280	SD
Zm00001eb209970	SD
Zm00001eb360180	SD
Zm00001eb041980	SD
Zm00001eb199730	SD
Zm00001eb361760	SD
Zm00001eb102610	SD
Zm00001eb429200	SD
Zm00001eb256960	SD
Zm00001eb099080	SD
Zm00001eb374240	SD
Zm00001eb427140	SD
Zm00001eb233540	SD
Zm00001eb278480	SD
Zm00001eb066110	SD
Zm00001eb192720	SD
Zm00001eb390970	SD
Zm00001eb427630	SD
Zm00001eb078350	SD
Zm00001eb073990	SD
Zm00001eb075850	SD
Zm00001eb247110	SD
Zm00001eb043580	SD
Zm00001eb325470	SD
Zm00001eb141980	SD
Zm00001eb225720	SD
Zm00001eb302800	SD
Zm00001eb160600	SD
Zm00001eb410440	SD
Zm00001eb401720	SD
Zm00001eb389210	SD
Zm00001eb419690	SD
Zm00001eb269310	SD
Zm00001eb218470	SD
Zm00001eb407660	SD
Zm00001eb206880	SD
Zm00001eb176670	SD
Zm00001eb040700	SD
Zm00001eb116310	SD
Zm00001eb400410	SD
Zm00001eb315710	SD
Zm00001eb272780	SD
Zm00001eb431180	SD
Zm00001eb189420	SD
Zm00001eb388260	SD
Zm00001eb371190	SD
Zm00001eb110730	SD
Zm00001eb348590	SD
Zm00001eb075250	SD
Zm00001eb253500	SD
Zm00001eb084600	SD
Zm00001eb145640	SD
Zm00001eb321870	SD
Zm00001eb252120	SD
Zm00001eb135750	SD
Zm00001eb387010	SD
Zm00001eb159640	SD
Zm00001eb173380	SD
Zm00001eb044780	SD
Zm00001eb059840	SD
Zm00001eb351990	SD
Zm00001eb357010	SD
Zm00001eb007090	SD
Zm00001eb075420	SD
Zm00001eb103410	SD
Zm00001eb099960	SD
Zm00001eb215280	SD
Zm00001eb396040	SD
Zm00001eb379150	SD
Zm00001eb247540	SD
Zm00001eb314920	SD
Zm00001eb206510	SD
Zm00001eb419810	SD
Zm00001eb340640	SD
Zm00001eb355580	SD
Zm00001eb205510	SD
Zm00001eb150160	SD
Zm00001eb032290	SD
Zm00001eb079940	SD
Zm00001eb218320	SD
Zm00001eb348840	SD
Zm00001eb429900	SD
Zm00001eb387520	SD
Zm00001eb061880	SD
Zm00001eb281840	SD
Zm00001eb102800	SD
Zm00001eb402340	SD
Zm00001eb148720	SD
Zm00001eb345060	SD
Zm00001eb295010	SD
Zm00001eb246700	SD
Zm00001eb302670	SD
Zm00001eb187850	SD
Zm00001eb275550	SD
Zm00001eb267610	SD
Zm00001eb000920	SD
Zm00001eb251350	SD
Zm00001eb054650	SD
Zm00001eb160430	SD
Zm00001eb019590	SD
Zm00001eb405150	SD
Zm00001eb254950	SD
Zm00001eb206420	SD
Zm00001eb058410	SD
Zm00001eb139400	SD
Zm00001eb273690	SD
Zm00001eb260560	SD
Zm00001eb215130	SD
Zm00001eb365010	SD
Zm00001eb028510	SD
Zm00001eb322350	SD
Zm00001eb288330	SD
Zm00001eb245640	SD
Zm00001eb161420	SD
Zm00001eb217900	SD
Zm00001eb085570	SD
Zm00001eb035540	SD
Zm00001eb089670	SD
Zm00001eb192580	SD
Zm00001eb029530	SD
Zm00001eb156740	SD
Zm00001eb185290	SD
Zm00001eb216910	SD
Zm00001eb288910	SD
Zm00001eb006570	SD
Zm00001eb233880	SD
Zm00001eb335110	SD
Zm00001eb342340	SD
Zm00001eb064480	SD
Zm00001eb038540	SD
Zm00001eb211400	SD
Zm00001eb055050	SD
Zm00001eb418160	SD
Zm00001eb162250	SD
Zm00001eb018610	SD
Zm00001eb273040	SD
Zm00001eb258820	SD
Zm00001eb043420	SD
Zm00001eb253230	SD
Zm00001eb012350	SD
Zm00001eb105840	SD
Zm00001eb251290	SD
Zm00001eb207870	SD
Zm00001eb201440	SD
Zm00001eb258330	SD
Zm00001eb017280	SD
Zm00001eb150680	SD
Zm00001eb089630	SD
Zm00001eb149270	SD
Zm00001eb399030	SD
Zm00001eb391540	SD
Zm00001eb084450	SD
Zm00001eb006270	SD
Zm00001eb295830	SD
Zm00001eb034080	SD
Zm00001eb205200	SD
Zm00001eb085350	SD
Zm00001eb330730	SD
Zm00001eb010160	SD
Zm00001eb153370	SD
Zm00001eb104850	SD
Zm00001eb246000	SD
Zm00001eb397720	SD
Zm00001eb012280	SD
Zm00001eb421150	SD
Zm00001eb278700	SD
Zm00001eb345410	SD
Zm00001eb327960	SD
Zm00001eb282080	SD
Zm00001eb185240	SD
Zm00001eb279740	SD
Zm00001eb204890	SD
Zm00001eb190030	SD
Zm00001eb397700	SD
Zm00001eb367740	SD
Zm00001eb344950	SD
Zm00001eb193280	SD
Zm00001eb335890	SD
Zm00001eb360620	SD
Zm00001eb057860	SD
Zm00001eb255460	SD
Zm00001eb373520	SD
Zm00001eb199530	SD
Zm00001eb238620	SD
Zm00001eb193930	SD
Zm00001eb228090	SD
Zm00001eb431890	SD
Zm00001eb203470	SD
Zm00001eb248990	SD
Zm00001eb325080	SD
Zm00001eb076880	SD
Zm00001eb163150	SD
Zm00001eb195860	SD
Zm00001eb401630	SD
Zm00001eb225570	SD
Zm00001eb216660	SD
Zm00001eb148950	SD
Zm00001eb254390	SD
Zm00001eb368340	SD
Zm00001eb317930	SD
Zm00001eb314240	SD
Zm00001eb395790	SD
Zm00001eb074460	SD
Zm00001eb029390	SD
Zm00001eb197020	SD
Zm00001eb024200	SD
Zm00001eb172450	SD
Zm00001eb028400	SD
Zm00001eb152940	SD
Zm00001eb425450	SD
Zm00001eb433650	SD
Zm00001eb143180	SD
Zm00001eb353320	SD
Zm00001eb426920	SD
Zm00001eb429450	SD
Zm00001eb424990	SD
Zm00001eb189070	SD
Zm00001eb189400	SD
Zm00001eb347680	SD
Zm00001eb406750	SD
Zm00001eb334630	SD
Zm00001eb003350	SD
Zm00001eb326620	SD
Zm00001eb344930	SD
Zm00001eb040760	SD
Zm00001eb179120	SD
Zm00001eb000500	SD
Zm00001eb209880	SD
Zm00001eb265830	SD
Zm00001eb012000	SD
Zm00001eb188550	SD
Zm00001eb009100	SD
Zm00001eb301430	SD
Zm00001eb149130	SD
Zm00001eb221130	SD
Zm00001eb160160	SD
Zm00001eb096340	SD
Zm00001eb058860	SD
Zm00001eb028680	SD
Zm00001eb153830	SD
Zm00001eb186770	SD
Zm00001eb240400	SD
Zm00001eb208020	SD
Zm00001eb161170	SD
Zm00001eb430330	SD
Zm00001eb247720	SD
Zm00001eb339240	SD
Zm00001eb196060	SD
Zm00001eb182820	SD
Zm00001eb244770	SD
Zm00001eb174080	SD
Zm00001eb186000	SD
Zm00001eb254490	SD
Zm00001eb024330	SD
Zm00001eb427720	SD
Zm00001eb095770	SD
Zm00001eb272510	SD
Zm00001eb103030	SD
Zm00001eb000760	SD
Zm00001eb205070	SD
Zm00001eb153530	SD
Zm00001eb426300	SD
Zm00001eb117070	SD
Zm00001eb152560	SD
Zm00001eb077230	SD
Zm00001eb222260	SD
Zm00001eb079950	SD
Zm00001eb292590	SD
Zm00001eb420920	SD
Zm00001eb176380	SD
Zm00001eb403260	SD
Zm00001eb277450	SD
Zm00001eb159400	SD
Zm00001eb117810	SD
Zm00001eb160590	SD
Zm00001eb099520	SD
Zm00001eb045420	SD
Zm00001eb159780	SD
Zm00001eb257480	SD
Zm00001eb029660	SD
Zm00001eb354720	SD
Zm00001eb316410	SD
Zm00001eb294910	SD
Zm00001eb269520	SD
Zm00001eb136450	SD
Zm00001eb338010	SD
Zm00001eb199590	SD
Zm00001eb311590	SD
Zm00001eb407800	SD
Zm00001eb376990	SD
Zm00001eb299200	SD
Zm00001eb368740	SD
Zm00001eb334440	SD
Zm00001eb064770	SD
Zm00001eb358270	SD
Zm00001eb073510	SD
Zm00001eb196590	SD
Zm00001eb430940	SD
Zm00001eb119890	SD
Zm00001eb419620	SD
Zm00001eb363830	SD
Zm00001eb247390	SD
Zm00001eb397350	SD
Zm00001eb114030	SD
Zm00001eb160250	SD
Zm00001eb289020	SD
Zm00001eb198960	SD
Zm00001eb126640	SD
Zm00001eb067960	SD
Zm00001eb199820	SD
Zm00001eb006950	SD
Zm00001eb273870	SD
Zm00001eb054960	SD
Zm00001eb127090	SD
Zm00001eb256270	SD
Zm00001eb103470	SD
Zm00001eb424550	SD
Zm00001eb004420	SD
Zm00001eb037050	SD
Zm00001eb163310	SD
Zm00001eb250590	SD
Zm00001eb149420	SD
Zm00001eb012790	SD
Zm00001eb396300	SD
Zm00001eb037500	SD
Zm00001eb143710	SD
Zm00001eb256420	SD
Zm00001eb335860	SD
Zm00001eb131530	SD
Zm00001eb191270	SD
Zm00001eb244500	SD
Zm00001eb045640	SD
Zm00001eb398630	SD
Zm00001eb360520	SD
Zm00001eb339300	SD
Zm00001eb115370	SD
Zm00001eb367830	SD
Zm00001eb156250	SD
Zm00001eb403880	SD
Zm00001eb232490	SD
Zm00001eb220140	SD
Zm00001eb431290	SD
Zm00001eb357920	SD
Zm00001eb399830	SD
Zm00001eb370810	SD
Zm00001eb009310	SD
Zm00001eb070190	SD
Zm00001eb153840	SD
Zm00001eb084730	SD
Zm00001eb395300	SD
Zm00001eb091940	SD
Zm00001eb289960	SD
Zm00001eb202550	SD
Zm00001eb236640	SD
Zm00001eb053750	SD
Zm00001eb125880	SD
Zm00001eb420580	SD
Zm00001eb082150	SD
Zm00001eb162110	SD
Zm00001eb196100	SD
Zm00001eb011300	SD
Zm00001eb163520	SD
Zm00001eb124840	SD
Zm00001eb214860	SD
Zm00001eb247610	SD
Zm00001eb352310	SD
Zm00001eb093670	SD
Zm00001eb033050	SD
Zm00001eb118140	SD
Zm00001eb165340	SD
Zm00001eb100310	SD
Zm00001eb237760	SD
Zm00001eb243930	SD
Zm00001eb159650	SD
Zm00001eb124900	SD
Zm00001eb106060	SD
Zm00001eb035220	SD
Zm00001eb360110	SD
Zm00001eb257860	SD
Zm00001eb052630	SD
Zm00001eb226660	SD
Zm00001eb296520	SD
Zm00001eb015700	SD
Zm00001eb291820	SD
Zm00001eb099000	SD
Zm00001eb429620	SD
Zm00001eb083450	SD
Zm00001eb251420	SD
Zm00001eb150970	SD
Zm00001eb248900	SD
Zm00001eb122880	SD
Zm00001eb427460	SD
Zm00001eb397570	SD
Zm00001eb423570	SD
